grupo_id,nombre,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol_mg,azucar_g,fibra_g,vitamina_a_mg_re,acido_ascorbico_mg,acido_folico_mg,calcio_mg,hierro_mg,potasio_mg,sodio_mg,fosforo_mg,etanol_g,indice_glucemico,carga_glucemica,contiene_gluten
19,Acelga cocida,1/2,taza,72,72,19,1.9,0.1,3.9,0.0,0.0,0.0,0.0,64.0,2.1,275.8,17.9,10.1,82.1,1.4,654.5,173.5,29.5,0.0,3.0,,FALSE
19,Acelga cruda,2,taza,120,98,22,2.2,0.1,4.3,0.0,0.0,0.0,0.0,64.0,3.6,310.9,29.5,14.8,115.1,2.5,749.8,222.4,40.3,0.0,3.0,,FALSE
19,Alcachofa mediana cocida,1,pieza,120,48,25,1.4,0.2,5.7,0.0,0.0,0.0,0.0,,4.1,0.5,3.6,42.7,10.1,0.3,137.3,28.8,35.0,0.0,,,FALSE
19,Alfalfa,3.5,taza,116,116,27,4.6,0.8,2.4,0.1,0.1,0.5,0.0,0.2,0.2,9.2,9.5,,37.0,1.1,,6.9,,0.0,,,FALSE
19,Alga Nori,10,gramos,10,10,20,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,,40.0,0.7,,12.0,,0.0,,,FALSE
19,Alga para sushl,10,gramos,10,10,20,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,,40.0,0.7,,12.0,,0.0,,,FALSE
19,Apio cocido,1/2,taza,75,75,14,0.6,0.1,3.0,0.0,0.0,0.1,0.0,,1.2,19.5,4.6,16.5,31.5,0.3,213.0,68.3,18.8,0.0,,,FALSE
19,Apio crudo,1,taza,101,90,14,0.6,0.2,2.7,0.0,0.0,0.1,0.0,,2.5,19.8,2.8,32.4,36.0,0.2,233.7,71.9,21.6,0.0,,,FALSE
19,Arúgula cruda,4,taza,80,80,20,2.1,0.5,2.9,0.0,0.0,0.0,0.0,,3.5,95.2,12.0,77.6,129.6,1.2,295.2,21.6,41.6,0.0,,,FALSE
19,Berenjena cocida,1,taza,99,99,35,0.8,0.2,8.6,0.0,0.0,0.0,0.0,,2.5,2.0,1.3,13.9,6.2,0.4,245.4,2.1,22.7,0.0,,,FALSE
19,Berro crudo,2,taza,68,56,34,1.3,0.1,0.7,0.0,0.0,0.0,0.0,,0.3,46.3,6.7,35.7,32.9,1.2,100.4,11.2,19.5,0.0,,,FALSE
19,Betabel crudo,1/4,pieza,43,39,19,0.8,0.1,4.3,0.0,0.0,0.0,0.0,,0.3,0.8,7.8,36.4,8.2,0.6,131.0,23.5,7.4,0.0,,,FALSE
19,Betabel crudo rallado,1/4,taza,38,38,18,0.8,0.1,4.1,0.0,0.0,0.0,0.0,,0.3,0.8,7.5,34.9,7.9,0.6,125.6,22.5,7.1,0.0,,,FALSE
19,Bledos crudos,150,gramos,150,95,27,2.4,0.3,3.8,0.1,0.1,0.1,0.0,,0.9,189.5,40.6,80.3,203.2,4.1,577.4,18.9,47.3,0.0,,,FALSE
19,Brócoli cocido,1/2,taza,92,92,26,2.7,0.4,4.6,0.0,0.0,0.1,0.0,,2.7,127.4,68.4,46.0,42.5,0.8,268.9,23.6,54.3,0.0,,,FALSE
19,Brócoli crudo,1,taza,88,71,19,2.1,0.3,3.7,0.0,0.0,0.2,0.0,,2.1,110.2,66.4,50.2,34.0,0.6,231.7,19.4,47.0,0.0,,,FALSE
19,Calabacita alargada cruda,1,pieza,111,91,21,1.6,0.1,3.4,0.0,0.0,0.0,0.0,,1.4,12.3,11.8,23.7,22.8,0.5,183.9,0.9,,0.0,,,FALSE
